FirstName,LastName,Height,Weight,Position,DOB,Age,Uniform,City,State,College,InsideScoring,PotInside,JumpShot,PotJumpShot,FtShot,PotFtShot,3pShot,Pot3pShot,3pUsage,Handling,PotHandling,Passing,PotPassing,PostDefense,PotPostDefense,PerimeterDefense,PotPerimeterDefense,Stealing,PotStealing,Blocking,PotBlocking,OReb,PotOReb,DReb,PotDReb,Fouling,Strength,Quickness,Jumping,Stamina,Picname,InjuryAvoidance
Mike,Dunleavy,81,230,SG,29479,21,17,Fort Worth,TX,Duke,37,51,47,79,77,77,72,90,40,43,49,26,43,43,54,40,48,33,44,27,34,24,28,41,53,60,57,65,55,76,0,54
Terence,Davis,76,201,SG,35566,21,0,Southaven,MS,Ole Miss,40,45,57,64,83,83,61,72,81,41,46,24,30,26,36,48,51,49,54,23,24,19,22,37,46,46,61,76,10,72,0,78
Ron,Mercer,79,210,SG,27898,20,0,0,0,Kentucky,51,68,52,65,78,78,18,22,5,36,47,22,31,24,36,55,59,53,56,14,18,21,22,13,24,53,39,78,34,87,0,9
Cedi,Osman,79,230,SF,34797,21,16,Ohrid,Macedonia,None,39,39,56,56,67,67,54,66,73,48,48,34,34,36,40,35,40,31,40,10,12,13,19,44,44,58,57,59,28,76,0,49
Matt,Geiger,84,245,C,25456,22,0,0,0,Georgia Tech,37,49,30,47,66,66,6,6,3,32,42,13,19,48,62,23,23,38,38,50,59,74,74,48,60,78,71,25,63,68,0,91
Stuart,Gray,84,245,C,23158,20,0,0,0,UCLA,26,36,14,21,56,56,0,0,0,13,33,11,17,38,58,10,16,20,31,54,67,40,63,44,70,62,54,22,61,64,0,98
Cameron,Johnson,80,210,PF,35127,22,23,Moon Township,PA,North Carolina,21,44,52,63,81,81,61,81,100,40,50,24,29,40,45,34,48,38,64,22,27,20,32,31,43,90,72,62,18,76,0,24
Bryce,Drew,75,185,PG,27293,23,0,0,0,Valparaiso,28,42,53,53,82,82,52,53,43,61,68,30,32,19,21,54,59,32,49,6,7,9,10,17,20,34,20,86,28,72,0,30
Herb,Jones,80,210,SF,36074,22,5,Tuscaloosa,AL,Alabama,36,41,50,67,60,60,49,56,16,34,38,19,40,38,46,57,69,80,88,49,61,39,64,26,41,64,54,62,46,79,0,54
Paul,Thompson,78,210,SG,22426,21,0,0,0,Tulane,46,53,57,57,76,76,10,10,10,42,44,22,22,35,39,44,56,56,73,43,54,39,44,39,39,0,35,76,38,74,0,56
Alex,Caruso,76,186,PG,34393,22,4,College Station,TX,Texas A&M,25,35,54,56,65,65,64,64,31,45,60,34,34,26,31,60,77,49,75,29,29,16,16,25,32,40,38,82,50,72,0,43
Sam,Mitchell,79,215,SF,23256,25,0,0,0,Mercer,48,48,24,44,74,74,23,29,0,46,50,25,27,34,41,36,39,31,40,36,36,59,59,46,46,48,48,59,81,86,0,81
Felton,Spencer,84,265,C,24842,21,50,0,0,Louisville,29,38,26,30,55,55,0,0,0,35,38,12,12,46,60,14,17,21,33,71,72,88,88,63,66,55,65,21,79,78,0,32
Eric,Snow,75,200,PG,26778,21,0,0,0,Michigan St.,28,49,35,48,71,71,18,18,8,73,94,43,71,16,24,59,66,84,84,14,17,11,14,20,25,44,36,78,76,72,0,19
Scott,Williams,82,230,PF,24918,21,0,0,0,North Carolina,25,44,22,49,65,65,0,0,4,38,44,20,21,37,56,21,35,23,57,54,67,66,84,38,74,66,61,43,55,64,0,29
Tony,Smith,78,177,SG,23263,21,8,Willoughby,OH,Ohio State,3,5,6,9,39,39,2,4,4,9,17,6,11,6,11,4,5,2,3,3,5,0,0,1,1,46,52,55,39,34,0,54
Chelsea,Mascot,77,195,PG,2/27/2000,40,1,Goldsboro,NC,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crystal Palace,Mascot,77,195,PG,2/28/2000,40,1,Goldsboro,NC,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Inter Milan,Mascot,77,195,PG,2/29/2000,40,1,Goldsboro,NC,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Juventus,Mascot,77,195,PG,3/1/2000,40,1,Goldsboro,NC,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FL Fart,Mascot,77,195,PG,3/2/2000,40,1,Goldsboro,NC,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manchester City,Mascot,77,195,PG,3/3/2000,40,1,Goldsboro,NC,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manchester United,Mascot,77,195,PG,3/4/2000,40,1,Goldsboro,NC,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marseille,Mascot,77,195,PG,3/5/2000,40,1,Goldsboro,NC,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monaco,Mascot,77,195,PG,3/6/2000,40,1,Goldsboro,NC,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paris Saint-Germain,Mascot,77,195,PG,3/7/2000,40,1,Goldsboro,NC,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Real Madrid,Mascot,77,195,PG,3/8/2000,40,1,Goldsboro,NC,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sporting CP,Mascot,77,195,PG,3/9/2000,40,1,Goldsboro,NC,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tottenham Hotspur,Mascot,77,195,PG,3/10/2000,40,1,Goldsboro,NC,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Valencia,Mascot,77,195,PG,3/11/2000,40,1,Goldsboro,NC,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AC Milan,Mascot,77,195,PG,2/17/2000,40,1,Goldsboro,NC,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFC Richmond,Mascot,77,195,PG,2/18/2000,40,1,Goldsboro,NC,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ajax,Mascot,77,195,PG,2/19/2000,40,1,Goldsboro,NC,North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
