FirstName,LastName,Height,Weight,Position,DOB,Age,Uniform,City,State,College,InsideScoring,PotInside,JumpShot,PotJumpShot,FtShot,PotFtShot,3pShot,Pot3pShot,3pUsage,Handling,PotHandling,Passing,PotPassing,PostDefense,PotPostDefense,PerimeterDefense,PotPerimeterDefense,Stealing,PotStealing,Blocking,PotBlocking,OReb,PotOReb,DReb,PotDReb,Fouling,Strength,Quickness,Jumping,Stamina,Picname,InjuryAvoidance
Pooh,Richardson,73,180,PG,24241,22,0,0,0,UCLA,57,65,60,70,54,54,51,64,14,97,98,80,84,17,23,70,70,72,74,12,14,18,20,15,26,61,41,95,28,87,0,36
Tim,Hardaway Jr.,78,205,SG,33679,20,5,Miami,FL,Michigan,41,48,57,64,79,79,56,70,73,36,46,17,21,25,28,37,42,19,22,10,12,5,6,13,21,52,44,74,28,77,0,52
Vitor,Faverani,83,260,C,32268,24,38,0,Brazil,None,30,38,24,31,48,48,34,34,55,17,20,9,11,45,58,16,16,25,35,66,72,56,60,56,62,2,58,22,37,67,0,30
Daniel,Orton,82,255,C,33091,20,33,Oklahoma City,OK,Kentucky,36,37,23,32,46,46,0,0,0,25,30,10,11,35,54,17,17,35,35,59,68,50,56,36,50,59,63,21,54,64,0,26
Trae,Young,73,180,PG,36057,19,11,0,0,Oklahoma,67,92,39,53,86,86,60,69,82,55,72,70,89,20,26,38,48,26,44,8,10,11,13,20,34,71,46,98,86,85,0,40
Ricky,Wilson,75,195,PG,23574,22,0,0,0,George Mason,48,48,35,36,63,63,44,55,24,72,80,35,36,20,20,57,65,69,84,11,14,5,6,17,20,21,20,81,56,72,0,60
Milt,Palacio,75,215,PG,28528,20,0,0,0,Colorado State,36,44,50,50,65,65,17,17,9,43,68,27,44,22,28,58,58,58,58,13,16,13,14,24,25,42,34,80,63,72,0,93
Greivis,Vasquez,78,211,PG,31793,22,21,Caracas,Venezuela,Maryland,25,41,45,70,79,79,63,63,31,57,75,40,62,29,32,38,47,28,33,8,8,8,9,20,31,45,41,87,26,72,0,65
Eric,Maynor,75,175,PG,31939,21,6,Raeford,NC,Virginia Commonwealth,26,41,44,44,64,64,40,48,25,73,74,43,43,16,26,43,57,34,40,22,27,9,12,23,23,41,20,88,30,72,0,60
Jon,Leuer,82,228,PF,32642,21,30,Long Lake,MN,Wisconsin,29,37,45,46,60,60,22,22,11,41,43,14,15,38,56,27,27,31,32,43,43,51,51,36,58,59,58,46,32,64,0,72
Jumaine,Jones,80,218,SF,28896,19,0,0,0,Georgia,26,38,38,57,62,62,54,64,33,29,45,9,22,41,51,34,47,33,48,31,39,42,46,40,56,46,50,57,36,67,0,11
Arnett,Moultrie,82,245,PF,33195,20,5,Queens,NY,Mississippi State,24,40,46,46,50,50,0,0,0,30,31,6,6,45,56,27,30,37,44,37,46,60,69,29,46,74,64,40,32,66,0,81
Raja,Bell,77,210,SG,28022,23,19,St. Croix,0,Florida Intl,25,46,72,83,77,77,81,92,19,43,50,23,35,25,30,51,85,23,42,14,17,22,22,22,29,54,46,68,38,72,0,37
Luc,Longley,86,265,C,25222,21,0,0,0,New Mexico,30,44,27,45,71,71,0,0,0,18,39,20,32,49,64,22,22,44,46,71,73,42,62,61,66,47,52,23,43,70,0,38
Alec,Kessler,83,240,PF,24485,22,0,0,0,Georgia,37,42,25,26,68,68,6,6,0,35,35,8,10,51,52,9,12,17,21,43,50,59,59,50,56,46,44,45,45,70,0,54
Charles,Smith,73,160,PG,24805,20,0,0,0,Georgetown,40,48,22,27,58,58,0,0,0,44,44,25,25,18,18,44,59,53,53,10,11,8,8,18,18,52,20,88,46,72,0,42
Jalen,McDaniels,81,205,SF,35826,20,6,Federal Way,WA,San Diego State,28,40,39,56,66,66,42,50,54,36,40,18,18,35,44,28,42,41,56,27,34,33,37,33,54,35,63,56,36,72,0,49
