FirstName,LastName,Height,Weight,Position,DOB,Age,Uniform,City,State,College,InsideScoring,PotInside,JumpShot,PotJumpShot,FtShot,PotFtShot,3pShot,Pot3pShot,3pUsage,Handling,PotHandling,Passing,PotPassing,PostDefense,PotPostDefense,PerimeterDefense,PotPerimeterDefense,Stealing,PotStealing,Blocking,PotBlocking,OReb,PotOReb,DReb,PotDReb,Fouling,Strength,Quickness,Jumping,Stamina,Picname,InjuryAvoidance
Trent,Tucker,77,193,SG,21904,21,0,0,0,Minnesota,29,48,65,89,70,70,71,89,6,44,59,37,39,16,25,40,67,50,84,14,17,29,30,20,25,55,56,74,21,75,0,93
Charles,Shackleford,82,225,PF,24219,21,0,0,0,North Carolina State,40,42,27,41,55,55,0,0,0,26,37,16,16,39,57,24,27,27,38,47,59,57,75,71,76,37,61,45,41,69,0,19
Alaa,Abdelnaby,82,240,PF,25013,21,31,Cairo,Egypt,Duke,42,44,28,37,62,62,0,0,0,31,31,9,9,53,53,19,19,25,29,38,47,58,58,59,59,54,60,48,47,65,0,80
Jack,Haley,82,240,PF,23403,23,0,0,0,UCLA,33,43,20,33,55,55,0,0,0,29,35,10,10,42,50,21,21,26,33,42,52,59,67,56,57,61,55,44,66,66,0,52
Salah,Mejri,86,245,C,31578,28,50,0,0,None,31,36,47,50,45,45,10,10,2,23,35,8,14,56,68,18,20,36,36,77,80,65,70,65,78,54,90,20,54,66,0,2
Ivan,Rabb,82,220,PF,35830,18,10,Sacramento,CA,California,31,41,49,61,68,68,0,0,8,33,40,17,24,39,56,20,26,21,29,36,45,67,70,53,68,59,76,44,40,68,0,1
Greg,Oden,84,285,C,32164,19,52,Buffalo,NY,Ohio State,35,40,13,37,55,55,0,0,0,31,34,10,10,41,60,9,12,19,28,62,77,69,76,48,64,59,79,23,66,75,0,64
Amare,Stoudemire,82,245,PF,30271,18,1,Lake Wales,FL,Cypress Creek HS,46,90,14,45,71,71,9,11,2,24,43,9,25,41,68,17,29,20,35,54,68,36,67,32,67,79,82,51,100,86,0,3
Nick,Anderson,78,205,SG,24857,20,0,0,0,Illinois,38,68,54,76,56,56,62,78,8,27,50,23,45,31,47,53,67,45,77,33,41,40,40,36,52,66,58,77,62,78,0,20
Gordan,Giricek,78,210,SG,28296,24,0,0,0,None,40,45,73,75,80,80,68,72,35,45,45,27,27,30,31,39,46,26,33,11,11,12,14,24,31,41,46,72,31,81,0,22
MarShon,Brooks,77,200,SG,32534,21,9,Long Branch,NJ,Providence,42,45,45,61,69,69,48,48,29,32,42,22,25,28,32,48,58,42,54,24,27,21,24,20,28,51,44,75,44,73,0,30
Charles,Bassey,83,235,PF,36827,19,23,Lagos,Nigeria,Western Kentucky,37,47,18,31,42,70,24,30,15,22,42,5,8,48,61,22,36,19,25,57,71,35,67,37,74,48,74,36,26,68,0,18
Rashard,Lewis,82,215,PF,29075,18,9,Pineville,LA,Alief Elsik HS,18,69,44,64,78,78,74,92,47,26,46,13,36,32,54,29,48,37,62,32,40,43,46,29,45,85,62,50,52,70,0,43
Glen,Davis,81,289,PF,31413,20,11,Baton Rouge,LA,LSU,33,52,17,29,62,62,1,1,1,26,44,13,23,35,59,17,29,28,52,31,39,37,62,22,52,60,46,45,69,71,0,43
Isaiah,Jackson,82,206,PF,36535,20,23,Pontiac,MI,Kentucky,45,54,21,24,43,63,0,0,0,17,26,1,6,40,66,35,58,21,52,69,86,30,78,35,71,82,71,44,51,64,0,50
Antawn,Jamison,81,223,PF,27923,21,4,Shreveport,LA,North Carolina,34,90,42,53,65,65,58,73,4,38,46,21,31,36,56,25,42,25,48,27,34,72,72,34,63,100,62,53,57,82,0,66
Emmanuel,Mudiay,77,200,PG,35129,18,0,0,Congo,None,42,54,29,55,68,68,50,58,43,38,52,37,43,22,36,40,54,22,39,19,24,7,13,20,37,41,35,89,50,81,0,11
